time,velocity,length
1,-0.5,9.5
2,-0.95,8.55
3,-1.305,7.245
4,-1.5295,5.7155
5,-1.60105,4.11445
6,-1.5125,2.60195
7,-1.27269,1.32926
8,-0.905617,0.423648
9,-0.447982,0.0243342
10,0.0495849,0.0252507
11,0.54706,0.572311
12,0.989829,1.56214
13,1.33361,2.89575
14,1.54404,4.43979
15,1.60006,6.03985
16,1.49607,7.53593
17,1.24248,8.77841
18,0.864641,9.64305
19,0.400336,10.0434
20,-0.104003,9.93938
21,-0.597941,9.34144
22,-1.03209,8.30936
23,-1.36302,6.94634
24,-1.55765,5.38868
25,-1.59652,3.79216
26,-1.47574,2.31642
27,-1.20738,1.10904
28,-0.818285,0.290754
29,-0.34736,0.0566058
30,0.14698,0.0903737
31,0.637942,0.728316
32,1.06511,1.79343
33,1.38577,3.17919
34,1.56785,4.74704
35,1.59314,6.34019
36,1.45913,7.79931
37,1.17919,8.97851
38,0.781344,9.75985
39,0.305359,10.0652
40,-0.201162,9.86405
41,-0.687567,9.17648
42,-1.10521,8.07126
43,-1.41234,6.65892
44,-1.57823,5.08069
45,-1.5863,3.49439
46,-1.43574,2.05865
47,-1.14161,0.91704
48,-0.73331,0.18373
49,-0.251683,0.0679531
50,0.241522,0.173569
